"MONTH","P_TC","P_PFPR","P_TACT","FREQ_plasmepsin_95","FREQ_plasmepsin_50","FREQ_plasmepsin_05","FREQ_580Y_95","FREQ_580Y_50","FREQ_580Y_05","FREQ_mdr1_95","FREQ_mdr1_50","FREQ_mdr1_05","FREQ_184F_95","FREQ_184F_50","FREQ_184F_05","FREQ_86Y_95","FREQ_86Y_50","FREQ_86Y_05","FREQ_76T_95","FREQ_76T_50","FREQ_76T_05"
29,0.25,0.001,"ASMQ_PPQ",0.11276985,0.0175425,0,0.31785665,0.0669593,0.0031943505,0.22107235,0.0355684,0.0016986125,0.1647977,0.02942845,0,0.9159227,0.5871045,0.2507342,0.93883465,0.7195755,0.3504684
30,0.25,0.001,"ASMQ_PPQ",0.11582695,0.0152519,0,0.3073788,0.059566,0.0046858795,0.21434265,0.037828,0.0018635755,0.17027415,0.0327371,0,0.92314065,0.5791935,0.2279141,0.93597455,0.7151595,0.34697375
31,0.25,0.001,"ASMQ_PPQ",0.1333644,0.01605225,0,0.3103506,0.06402,0.003354575,0.2248279,0.0379709,0.001857715,0.17144895,0.03285305,0.0009359609,0.924795,0.573138,0.22862155,0.9388687,0.725136,0.3446396
32,0.25,0.001,"ASMQ_PPQ",0.13006045,0.0168853,0,0.32545955,0.06551375,0.003136325,0.21748105,0.0385674,0.0018432685,0.18705175,0.03422525,0.0009304604,0.91050375,0.571969,0.21360965,0.942557,0.7184865,0.3515197
33,0.25,0.001,"ASMQ_PPQ",0.1449929,0.01821675,0,0.3287074,0.0709969,0.004170976,0.2206744,0.0368309,0.001875434,0.1871441,0.03430555,0,0.90086555,0.5880235,0.2077746,0.94825835,0.714137,0.35714645
34,0.25,0.001,"ASMQ_PPQ",0.14369365,0.01750755,0,0.3387441,0.07372345,0.003243882,0.21012895,0.0350974,0.0018945785,0.1704213,0.03560475,0,0.8997007,0.5943795,0.2001962,0.9463199,0.713199,0.3595063
35,0.25,0.001,"ASMQ_PPQ",0.14343875,0.0198201,0,0.35240695,0.0712276,0.0031899445,0.21732935,0.03019595,0.0019825025,0.1723056,0.0324112,0,0.90577345,0.604363,0.19719895,0.95343595,0.7216155,0.3524548
36,0.25,0.001,"ASMQ_PPQ",0.15439655,0.01722025,0,0.3475668,0.0750532,0.003296073,0.2258309,0.0291916,0.0020138455,0.18048025,0.03376575,0,0.9228704,0.609181,0.20730265,0.9558606,0.7251815,0.32531125
37,0.25,0.001,"ASMQ_PPQ",0.1325036,0.0182325,0,0.3455641,0.0718951,0.00435472,0.2360938,0.0290882,0.0016884795,0.1790359,0.0326047,0,0.9292387,0.603214,0.19531965,0.9513243,0.7308285,0.32295305
38,0.25,0.001,"ASMQ_PPQ",0.1561809,0.0189802,0,0.320306,0.07317575,0.0042838475,0.2403213,0.0283779,0.001998423,0.1847846,0.0334517,0,0.9337529,0.599738,0.19086215,0.95838815,0.71884,0.3212828
